Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"New York, NY",30-01-2020,28.3,38.5,33.6,21.9,62.41,,10.2,47.2,86.56,19.2,0,0,,,5.3,1026.2,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",31-01-2020,35.6,42.8,39.4,32.4,76.03,,5.5,33.3,40.89,31,0,8.33,,,25.8,1025.9,,40.71455,-74.00714,"New York, NY",,,Partially cloudy
"New York, NY",01-02-2020,38.5,42.8,40.2,36.2,85.99,,7,41.4,174.57,34.9,0,4.17,,,25.8,1013.1,,40.71455,-74.00714,"New York, NY",,,Partially cloudy
"New York, NY",02-02-2020,35.9,42.6,38.7,32.9,80.33,,10.6,30.3,252.5,30,0,8.33,,,23.3,1002.1,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",03-02-2020,36.8,56.2,46.1,35.9,69.81,,7.7,52.8,224.44,32.4,0,12.5,,,15.6,1009,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",04-02-2020,42.9,56.9,48.9,42.1,77.5,,7,43.6,135.42,40,0,4.17,,,17.7,1009.3,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",05-02-2020,39.8,51.7,42.4,31.3,65.76,,7.7,36.7,45.88,34.5,0,0,,,28.5,1015.4,,40.71455,-74.00714,"New York, NY",,,Partially cloudy
"New York, NY",06-02-2020,37.4,42.1,40.2,37.9,91.53,,11.7,21.9,41.62,32.4,0.1,20.83,,,30.8,1003.6,,40.71455,-74.00714,"New York, NY",,,"Rain, Partially cloudy"
"New York, NY",07-02-2020,34.7,53.7,41.7,36,81.39,,19.6,45.9,141.75,29,0.1,25,,,28.4,991.1,,40.71455,-74.00714,"New York, NY",,,"Rain, Partially cloudy"
"New York, NY",08-02-2020,31.6,41.9,36.3,19.9,51.46,,13.4,39.1,246.32,25.6,0,4.17,,,9.4,1020.5,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",09-02-2020,33.8,44.6,39,30,70.17,,9.4,40.6,62.5,26.6,0,8.33,,,23.3,1031.4,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",10-02-2020,41.9,45.7,43.4,38.1,82.11,,8.6,,243.23,37.4,0.2,37.5,,,27.2,1022.2,,40.71455,-74.00714,"New York, NY",,,"Rain, Partially cloudy"
"New York, NY",11-02-2020,43.2,48.4,45.5,42.9,90.87,,3.9,,95.05,43,0.2,33.33,,,25.1,1013.7,,40.71455,-74.00714,"New York, NY",,,"Rain, Partially cloudy"
"New York, NY",12-02-2020,39.4,45.8,42.2,27.3,55.89,,8.6,45.9,166.47,33.6,0,0,,,13.4,1020.2,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",13-02-2020,37,43.1,40.2,37.2,89.2,,5.5,,167.39,35.4,0.2,37.5,,9.9,23.6,1007.7,,40.71455,-74.00714,"New York, NY",,,"Rain, Clear"
"New York, NY",14-02-2020,21,39.9,32.6,15.5,50.24,,9.4,44.7,264.55,18.2,0,0,,9.9,3.7,1024.8,Light Rain,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",15-02-2020,17.9,30.7,24.9,13.2,61.05,,8.6,18.3,152.63,9.9,0,0,,10,0,1035,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",16-02-2020,29.9,45.8,36.9,26.6,66.89,,10.2,41.4,204.17,21.1,0,0,,10,11.1,1022.4,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",17-02-2020,38.8,50.6,43.8,27.3,53.58,,10.2,40.3,190,34.9,0,4.17,,9.9,2.8,1024.1,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",18-02-2020,38.8,48.1,42.9,35.4,75.35,,11.7,20.8,66.61,31.9,0,0,,8.3,25.1,1022.7,"Mist, Smoke Or Haze",40.71455,-74.00714,"New York, NY",,,Partially cloudy
"New York, NY",19-02-2020,35.5,50.3,44.1,24.4,48.64,,6.2,43.6,122.22,30.8,0,0,,9.6,9.4,1022.9,Mist,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",20-02-2020,28.6,36.4,33.1,14.2,46,,10.2,53.9,190,25.4,0,4.17,,10,5.4,1030.7,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",21-02-2020,23.7,37,30.1,11.1,47.35,,7.7,42.5,195,17.2,0,4.17,,10,0,1031.3,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",22-02-2020,30.5,49.8,39.4,14.3,37.32,,10.2,48.3,259.17,23,0,0,,10,0,1024.5,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",23-02-2020,35.9,56.1,45.3,20.1,37.88,,10.2,47.2,233.33,31.9,0,4.17,,10,2.7,1021.7,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",24-02-2020,39.8,59,47.1,30.4,54.16,,4.7,48.3,178.64,38,0,0,,9.9,9.9,1016.9,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",25-02-2020,45.7,49,47,41.6,81.91,,5.5,,145.71,43.5,0,12.5,,7.7,24.2,1012.1,"Mist, Light Rain",40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",26-02-2020,44.9,46.9,46.1,43.7,91.64,,11.7,25.3,48.04,39.1,0,4.17,,6.3,28.9,1011.9,"Mist, Light Rain",40.71455,-74.00714,"New York, NY",,,Partially cloudy
"New York, NY",27-02-2020,32.8,45,40.3,28,64.36,,17.1,43.7,214.09,22.4,0.1,20.83,,9.8,23.7,1001.2,Light Rain,40.71455,-74.00714,"New York, NY",,,"Rain, Clear"
"New York, NY",28-02-2020,30,41.3,35.3,16.2,45.76,,15.6,46.9,262.57,19.9,0,12.5,,10,17.9,1010.6,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",29-02-2020,28.3,36.8,32.1,13.9,46.88,,10.9,35.5,240,21.7,0,0,,10,9,1012.8,Light Snow,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",01-03-2020,26.5,46.8,35.7,17.2,47.81,,9.4,40.3,257.92,20.5,0,0,,10,3,1020.4,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",02-03-2020,38.8,56.8,47.9,32.1,54.67,,10.2,39.1,215.26,35.8,0,4.17,,10,8.9,1014.9,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",03-03-2020,48.2,55.5,51.3,44.8,78.95,,6.2,52.8,233.06,47.1,0,0,,9,13.3,1004.5,"Mist, Light Rain",40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",04-03-2020,44.8,55.8,49.8,31.8,51.91,,17.1,51.7,266.32,38.9,0,4.17,,10,3.9,1007.3,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",05-03-2020,39.7,52.2,45.1,28.4,53.34,,6.2,45.9,171.33,37.8,0,0,,10,0.7,1018.8,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",06-03-2020,38.6,45.2,41.7,36.1,80.52,,10.9,25.3,79.55,32.6,0,4.17,,9.4,17.3,1012.7,"Mist, Light Rain",40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",07-03-2020,37.2,50.6,42,21.8,50.57,,5.5,34.4,154.29,35.4,0,0,,10,8.8,1021.9,Light Rain,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",08-03-2020,35.8,57.6,45.8,21.8,39.56,,7.7,58.6,255.5,32.3,0,0,,10,5.6,1029.9,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",09-03-2020,44,70.1,55.6,28.1,36.29,,8.6,52.8,264.17,41.4,0,0,,9.8,0,1027,Smoke Or Haze,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",10-03-2020,52,61.3,57.5,41.8,56.6,,12.4,53.9,267.08,,0,0,,10,10,1018.5,Light Rain,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",11-03-2020,45,57.8,50.7,33.1,51.88,,8.1,47.2,133.33,42.6,0,0,,10,7,1018.7,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",12-03-2020,44,47.9,46.7,36.5,68.53,,10.2,34.4,56.38,42.3,0,0,,9.8,21,1020.6,Light Rain,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",13-03-2020,47,68,55.2,42.6,70.78,,14.1,33.3,178.12,41.1,0,12.5,,8.5,31.6,1012.2,"Mist, Light Rain",40.71455,-74.00714,"New York, NY",,,Partially cloudy
"New York, NY",14-03-2020,43.8,57.8,49.7,24.3,37.05,,6.9,16.1,144.29,40.8,0,0,,10,5.2,1025.5,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",15-03-2020,43.6,56.9,47.9,25.2,42.12,,12.8,19.7,87.33,39.9,0,0,,10,14,1030.5,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",16-03-2020,35.1,46.1,41.5,24.1,50.79,,18.3,23,66.82,24.6,0,0,,9.9,37.5,1035.1,,40.71455,-74.00714,"New York, NY",,,Partially cloudy
"New York, NY",17-03-2020,42.2,53.1,47,40.6,78.61,,13.9,19.7,180.5,37.8,0,4.17,,10,69.8,1023.4,,40.71455,-74.00714,"New York, NY",,,Partially cloudy
"New York, NY",18-03-2020,43.1,54.1,47.9,30.2,50.48,,9.2,,163,38.9,0,0,,10,16.1,1030.6,,40.71455,-74.00714,"New York, NY",,,Clear
"Paris, France",01-01-2020,30.8,40.3,35.8,35.2,97.42,,7,13.9,163.09,25,0,0,,1.1,0,1031.6,"Mist, Light Drizzle, Fog",48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",02-01-2020,39.7,48.1,44.7,43.8,96.54,,8.9,17.2,185,36.1,0,12.5,,5.6,12.9,1026.4,"Mist, Heavy Drizzle, Light Drizzle, Fog",48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",03-01-2020,47.1,53.5,49.5,45.8,86.93,,14.6,30,254.88,41.4,0,8.33,,10.2,15.8,1024.8,"Mist, Light Rain",48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",04-01-2020,39.1,48.1,44.6,38.4,79.01,,10.6,21.9,294.5,35.5,0,0,,11.3,6.7,1035.8,,48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",05-01-2020,44.2,48,45.9,39,77.28,,4.7,19.7,231.33,42.7,0,0,,11.3,16.7,1036.3,Light Rain,48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",06-01-2020,34.8,45.8,40.1,35.6,84.11,,13.3,27.7,180.25,29.7,0,0,,9.8,4.3,1027.6,"Mist, Light Drizzle",48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",07-01-2020,43.3,49,46.1,44.7,94.85,,10.3,19.7,215.46,39.5,0,0,,6.1,10.7,1028.7,"Mist, Fog",48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",08-01-2020,50.5,54.1,52.9,51.2,93.98,,9,21.9,227.04,,0,0,,8.9,16.1,1026.4,"Mist, Light Drizzle",48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",09-01-2020,51,54.1,52.4,49.8,91.03,,13.9,33.3,208.67,,0.1,16.67,,10.3,17.1,1016.4,"Mist, Light Drizzle, Light Rain",48.85718,2.34141,"Paris, France",,,"Rain, Clear"
"Paris, France",10-01-2020,44.2,50.8,47.2,42.3,83.4,,11.6,30,282.88,40.2,0.1,16.67,,9.8,15,1022.4,"Drizzle, Mist, Light Drizzle, Light Rain",48.85718,2.34141,"Paris, France",,,"Rain, Clear"
